Log,Question,Mode,Correlation,P-Value,significance
Answer_Time__Nothing,I think the robot was a good student,"Delta Logs, Delta_Task",-0.5141288867954938,0.029053484538817453,*
Answer_Time__Nothing,I think the robot was a good student,Delta_Social,-0.30989971706747227,0.2260848351561327,-
Answer_Time__Nothing,I think the robot was a good student,Delta_Task,-0.5337521267495204,0.022524137393656603,*
Answer_Time__Nothing,I think the robot was a good student,Social,-0.4326695176085523,0.08280150610987665,-
Answer_Time__Nothing,I think the robot was a good student,Task,-0.26600795837367097,0.28600423706509237,-
Answer_Time__Nothing,I think the robot was nice,Baseline,,,-
Answer_Time__Nothing,I think the robot was nice,"Delta Logs, Delta_Social",,,-
Answer_Time__Nothing,I think the robot was nice,"Delta Logs, Delta_Task",-0.14739535342309518,0.5594530368242503,-
Answer_Time__Nothing,I think the robot was nice,Delta_Social,,,-
Answer_Time__Nothing,I think the robot was nice,Delta_Task,-0.39872332784965503,0.10121385534571516,-
Answer_Time__Nothing,I think the robot was nice,Social,,,-
Answer_Time__Nothing,I think the robot was nice,Task,-0.39872332784965503,0.10121385534571516,-
Answer_Time__Nothing,I think the robot was serious,Baseline,0.07565467583615203,0.6657819614294912,-
Answer_Time__Nothing,I think the robot was serious,"Delta Logs, Delta_Social",-0.253225090533872,0.3267629007434051,-
Answer_Time__Nothing,I think the robot was serious,"Delta Logs, Delta_Task",0.09478841923359681,0.708310337176731,-
Answer_Time__Nothing,I think the robot was serious,Delta_Social,-0.2762455533096785,0.28313888049173364,-
